L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
juho1239,Ju|'hoan,upsid,!XU - ~N/A~,95,46,95046
dhur1239,Dhurga,er,Dhurga - ~N/A~,19,6,19006
guro1248,Guro,gm,Gouro - ~N/A~,26,28,26028
tsha1245,Tshangla,ph,Tshangla - ~N/A~,32,5,32005
maba1277,Maba,upsid,MABA - ~N/A~,22,7,22007
kork1243,Korku,ra,Korku - ~N/A~,26,11,26011
pitj1243,Pitjantjatjara,er,Ngalia - ~N/A~,17,6,17006
patt1248,Pattani,ra,Pat̩t̩an̩i - ~N/A~,38,6,38006
sind1272,Sindhi,ra,Sindhi - ~N/A~,41,20,41020
tach1250,Tashlhiyt,spa,Shilha - ~N/A~,45,4,45004
kare1335,Karelian,ea,Karelian - Karelian (North),16,14,16014
guja1253,Gojri,ph,Gojri; Gujari; Gujar - ~N/A~,32,18,32018
busa1253,Busa,gm,busa - ~N/A~,16,12,16012
katc1249,Kadugli,gm,Kadugli (Miri) - Miri,41,20,41020
nuuc1236,Kyuquot,spa,Nootka - ~N/A~,37,10,37010
bulg1262,Bulgarian,ea,Bulgarian - Bulgarian (Standard),37,6,37006
ngad1258,Ngadjumaja,er,Ngadjunmaya - ~N/A~,20,6,20006
nugu1242,Gunu,gm,Nugunu - ~N/A~,24,7,24007
ngit1239,Ngiti,gm,Ngiti - ~N/A~,44,5,44005
ayor1240,Ayoreo,saphon,Ayoreo - ~N/A~,20,10,20010
kumy1244,Kumyk,ea,Kumyk - ~N/A~,23,8,23008
roma1327,Romanian,spa,Rumanian - ~N/A~,22,9,22009
xiri1243,Xiriana,saphon,Xiriâna - ~N/A~,19,5,19005
anua1242,Anywa,ph,Anywa - ~N/A~,19,24,19024
sumi1235,Sema,uz,Sumi - Central Standard dialect (Satakha and Zunheboto),32,6,32006
lowe1415,Dani (Lower Grand Valley),upsid,DANI - ~N/A~,12,12,12012
tase1235,Jugli,ra,Tangsa - ~N/A~,23,6,23006
arab1268,Arabela,upsid,ARABELA - ~N/A~,11,7,11007
beng1280,Bengali,spa,Bengali - ~N/A~,36,17,36017
mokp1239,Bakueri,gm,Mokpwe - ~N/A~,22,7,22007
koko1269,Kokota,ph,Kokota - ~N/A~,22,5,22005
mund1327,Mundani,aa,Mundani - ~N/A~,23,14,23014
tach1250,Tashlhiyt,upsid,SHILHA - ~N/A~,28,3,28003
baka1274,Baka (in South Sudan),gm,baka - ~N/A~,36,10,36010
yuki1243,Yuki,ph,Yuki - ~N/A~,24,6,24006
lith1251,Lithuanian,ea,Lithuanian - Lithuanian (West Aukštaitian),45,15,45015
hind1269,Hindi,spa,Hindi-Urdu - ~N/A~,71,23,71023
waya1270,Wayampi,saphon,Wayampi - Alto Jarí dialect,14,11,14011
kala1377,Kala Lagaw Ya,er,Kala Lagaw Ya - ~N/A~,18,6,18006
turk1304,Turkmen,ea,Turkmen - Turkmen (Teke),21,16,21016
shil1265,Shilluk,gm,Shilluk - ~N/A~,25,26,25026
mang1381,Mangarrayi,er,Mangarrayi - ~N/A~,17,5,17005
sayu1241,Sayula Popoluca,ph,Popoluca de Sayula - ~N/A~,19,6,19006
khan1273,Khanty,upsid,KHANTY - ~N/A~,19,13,19013
nucl1649,Tsimshian (Coast),upsid,TSIMSHIAN - ~N/A~,38,3,38003
kafa1242,Kefa,upsid,KEFA - ~N/A~,22,5,22005
pamp1243,Kapampangan,ea,Kapampangan - Kapampangan (Balingcanaway),17,5,17005
eyak1241,Eyak,upsid,EYAK - ~N/A~,32,13,32013
tsha1245,Tshangla,ea,Tshangla - ~N/A~,32,7,32007
kach1280,Jingpho,upsid,JINGPHO - ~N/A~,25,5,25005
kory1246,Koryak,upsid,KORYAK - ~N/A~,16,5,16005
adio1239,Adioukrou,aa,Adioukrou - ~N/A~,21,7,21007
aleu1260,Aleut (Eastern),upsid,ALEUT - ~N/A~,24,3,24003
stan1288,Spanish,uz,Spanish - Castilian Spanish,18,20,18020
bare1276,Baré,saphon,Baré - ~N/A~,19,4,19004
bret1244,Breton,spa,Breton - ~N/A~,25,17,25017
kaby1243,Kabyle,ph,Kabyle - ~N/A~,27,3,27003
gily1242,Nivkh,upsid,NIVKH - ~N/A~,28,7,28007
mbab1239,Mbabaram,er,Mbabaram - ~N/A~,15,12,15012
panj1256,Panjabi,spa,Punjabi - ~N/A~,50,20,50020
olut1240,Olutec,ph,Oluta Popoluca; Olutec - ~N/A~,20,12,20012
waya1270,Wayampi,saphon,Wayampi - Ampari dialect,14,12,14012
umbu1257,UMbundu,gm,umbundu - ~N/A~,20,10,20010
mala1522,Damana,saphon,Damana - ~N/A~,20,7,20007
shan1277,Shan,ea,Shan - Shan (Luxi),24,10,24010
toba1269,Toba,saphon,Toba - Lañagashik dialect,18,8,18008
hili1240,Hiligaynon,gm,Hiligaynon - ~N/A~,20,5,20005
tibe1272,Tibetan (Standard Spoken),ea,Dingri Tibetan - ~N/A~,27,14,27014
tzel1254,Tzeltal (Aguacatenango),upsid,TZELTAL - ~N/A~,22,6,22006
cofa1242,Cofán,saphon,Cofán - ~N/A~,27,10,27010
nucl1683,Daba,gm,Daba - ~N/A~,36,6,36006
brah1256,Brahui,ea,Brahui - Brahui (Sarāwān),26,17,26017
