glottocode,Phoneme,dataset
hakk1236,˥,spa
hakk1236,˧,spa
hakk1236,˧˩,spa
hakk1236,˩,spa
hakk1236,a,spa
hakk1236,i,spa
hakk1236,u,spa
hakk1236,æ,spa
hakk1236,ɔ,spa
hakk1236,ɛ,spa
yuec1235,f,spa
yuec1235,h,spa
yuec1235,j,spa
yuec1235,k,spa
yuec1235,kʰ,spa
yuec1235,kʷ,spa
yuec1235,kʷʰ,spa
yuec1235,l,spa
yuec1235,l̥,spa
yuec1235,m,spa
yuec1235,m̩,spa
yuec1235,n,spa
yuec1235,p,spa
yuec1235,pʰ,spa
yuec1235,t,spa
yuec1235,tʰ,spa
yuec1235,t̠ʃ,spa
yuec1235,t̠ʃʰ,spa
yuec1235,w,spa
yuec1235,ŋ,spa
yuec1235,ŋ̩,spa
yuec1235,ʃ,spa
yuec1235,˥,spa
yuec1235,˥˦,spa
yuec1235,˧,spa
yuec1235,˧˩̰,spa
yuec1235,˩,spa
yuec1235,a,spa
yuec1235,i,spa
yuec1235,u,spa
yuec1235,æ,spa
yuec1235,ɔ,spa
iumi1238,b,spa
iumi1238,c,spa
iumi1238,cʰ,spa
iumi1238,d,spa
iumi1238,dz,spa
iumi1238,f,spa
iumi1238,h,spa
iumi1238,j,spa
iumi1238,j̥,spa
iumi1238,k,spa
iumi1238,kʰ,spa
iumi1238,l,spa
iumi1238,l̥,spa
iumi1238,m,spa
iumi1238,m̥,spa
iumi1238,m̩,spa
iumi1238,n,spa
iumi1238,n̥,spa
iumi1238,n̩,spa
iumi1238,p,spa
iumi1238,pʰ,spa
iumi1238,s,spa
iumi1238,t,spa
iumi1238,ts,spa
iumi1238,tsʰ,spa
iumi1238,tʰ,spa
iumi1238,w,spa
iumi1238,ŋ,spa
iumi1238,ŋ̥,spa
iumi1238,ɟ,spa
iumi1238,ɡ,spa
iumi1238,ɲ,spa
iumi1238,ɲ̥,spa
iumi1238,ʍ,spa
iumi1238,ʔ,spa
iumi1238,˥˦,spa
iumi1238,˦,spa
iumi1238,˧˨ˤ,spa
iumi1238,˧˩,spa
iumi1238,˨˧,spa
iumi1238,˩̰,spa
iumi1238,a,spa
iumi1238,aː,spa
iumi1238,e,spa
iumi1238,i,spa
iumi1238,o,spa
iumi1238,u,spa
iumi1238,æ,spa
iumi1238,ɔ,spa
nyis1236,b,spa
nyis1236,d,spa
nyis1236,j,spa
nyis1236,k,spa
nyis1236,l̪,spa
nyis1236,m,spa
nyis1236,n,spa
nyis1236,p,spa
nyis1236,r,spa
nyis1236,s,spa
nyis1236,t,spa
nyis1236,x,spa
nyis1236,ŋ,spa
nyis1236,ɡ,spa
nyis1236,ɦ,spa
nyis1236,ʔ,spa
nyis1236,˥˦,spa
nyis1236,˩˨,spa
nyis1236,i,spa
nyis1236,i̥,spa
nyis1236,u,spa
nyis1236,u̥,spa
nyis1236,ɑ,spa
nyis1236,ɔ,spa
nyis1236,ɛ,spa
nyis1236,ɯ,spa
nyis1236,ʌ,spa
nucl1310,b,spa
nucl1310,d,spa
nucl1310,d̠ʒ,spa
nucl1310,h,spa
nucl1310,j,spa
nucl1310,k,spa
nucl1310,kʰ,spa
nucl1310,l,spa
nucl1310,l̥,spa
nucl1310,m,spa
nucl1310,m̥,spa
nucl1310,n,spa
nucl1310,n̥,spa
nucl1310,p,spa
nucl1310,pʰ,spa
nucl1310,s,spa
nucl1310,sʰ,spa
nucl1310,t,spa
nucl1310,tʰ,spa
nucl1310,t̠ʃ,spa
nucl1310,t̠ʃʰ,spa
nucl1310,w,spa
nucl1310,z,spa
nucl1310,ð,spa
nucl1310,ŋ,spa
nucl1310,ŋ̥,spa
nucl1310,ɡ,spa
nucl1310,ɲ,spa
nucl1310,ɲ̥,spa
nucl1310,ɾ,spa
nucl1310,ʃ,spa
nucl1310,ʍ,spa
nucl1310,ʔ,spa
nucl1310,θ,spa
nucl1310,˥,spa
nucl1310,˥̰,spa
nucl1310,˩,spa
nucl1310,a,spa
nucl1310,e,spa
nucl1310,eĩ,spa
nucl1310,i,spa
nucl1310,o,spa
nucl1310,oũ,spa
nucl1310,u,spa
nucl1310,æ̃,spa
nucl1310,ɔ,spa
nucl1310,ə,spa
nucl1310,ɛ,spa
nucl1310,ɪ̃,spa
nucl1310,ʊ̃,spa
lahu1253,b,spa
lahu1253,d,spa
lahu1253,d̠ʒ,spa
lahu1253,f,spa
lahu1253,h,spa
lahu1253,j,spa
lahu1253,k,spa
lahu1253,kʰ,spa
lahu1253,l,spa
lahu1253,m,spa
lahu1253,n,spa
lahu1253,p,spa
lahu1253,pʰ,spa
lahu1253,q,spa
lahu1253,qʰ,spa
lahu1253,t,spa
lahu1253,tʰ,spa
lahu1253,t̠ʃ,spa
lahu1253,t̠ʃʰ,spa
lahu1253,v,spa
lahu1253,w,spa
lahu1253,ŋ,spa
lahu1253,ɡ,spa
lahu1253,ɣ,spa
lahu1253,ʃ,spa
lahu1253,ʔ,spa
lahu1253,˥˦,spa
lahu1253,˧,spa
lahu1253,˧˦,spa
lahu1253,˧˨,spa
lahu1253,˩,spa
lahu1253,a,spa
lahu1253,e,spa
lahu1253,e̞,spa
lahu1253,i,spa
lahu1253,o,spa
lahu1253,u,spa
lahu1253,ɔ,spa
lahu1253,ɘ,spa
lahu1253,ɨ,spa
garo1247,b,spa
garo1247,d,spa
garo1247,dz,spa
garo1247,h,spa
garo1247,kʰ,spa
garo1247,l,spa
garo1247,m,spa
garo1247,mˀ,spa
garo1247,n,spa
garo1247,nˀ,spa
garo1247,pʰ,spa
garo1247,s̻,spa
garo1247,ts,spa
garo1247,tʰ,spa
garo1247,w,spa
garo1247,ŋ,spa
garo1247,ŋˀ,spa
garo1247,ɡ,spa
garo1247,ɾ,spa
garo1247,ɾˀ,spa
garo1247,ʔ,spa
garo1247,a,spa
garo1247,e̞,spa
garo1247,i,spa
garo1247,o,spa
garo1247,ʉ,spa
sgaw1245,c,spa
sgaw1245,cʰ,spa
sgaw1245,j,spa
sgaw1245,k,spa
sgaw1245,kʰ,spa
sgaw1245,l,spa
sgaw1245,m,spa
sgaw1245,n,spa
sgaw1245,p,spa
sgaw1245,pʰ,spa
