Name,glottocode,Genus,Family,Latitude,Longitude
"Chuukese","chuu1238","Oceanic","Austronesian",7.33333333333,151.75
"Chavacano","chav1241","Creoles and Pidgins","other",7.0,122.083333333
"Columbia-Wenatchi","colu1241","Interior Salish","Salishan",47.5,-120.0
"Dhimal","dhim1246","Dhimalic","Sino-Tibetan",26.6666666667,87.75
"Erromangan","siee1239","Oceanic","Austronesian",-18.8333333333,169.166666667
"Fox","mesk1242","Algonquian","Algic",43.0,-83.0
"Gumatj","guma1253","Western Pama-Nyungan","Pama-Nyungan",-12.5,135.5
"Gumbaynggir","kumb1268","Southeastern Pama-Nyungan","Pama-Nyungan",-30.1666666667,152.5
"Hiligaynon","hili1240","Greater Central Philippine","Austronesian",10.25,123.0
"Halkomelem (Upriver)","halk1245","Central Salish","Salishan",49.25,-121.916666667
"Harari","hara1271","Semitic","Afro-Asiatic",9.25,42.1666666667
"Ilocano","ilok1237","Northern Luzon","Austronesian",16.0,121.0
"Itzaj","itza1241","Mayan","Mayan",17.0,-89.8333333333
"Kapampangan","pamp1243","Central Luzon","Austronesian",15.3333333333,120.5
"Lardil","lard1243","Tangkic","Tangkic",-16.5,139.333333333
"Maninka (Western)","west2500","Western Mande","Mande",13.0,-11.0
"Mixtec (Jamiltepec)","jami1235","Mixtecan","Oto-Manguean",16.25,-97.8333333333
"Mangap-Mbula","mbul1263","Oceanic","Austronesian",-5.66666666667,148.083333333
"Mojave","moha1256","Yuman","Hokan",34.6666666667,-114.583333333
"Marquesan","nort2845","Oceanic","Austronesian",-8.91666666667,-140.083333333
"Marshallese","mars1254","Oceanic","Austronesian",7.11666666667,171.05
"Mwera","mwer1248","Bantoid","Niger-Congo",-9.0,39.0
"Mixtec (Alacatlatzala)","alac1244","Mixtecan","Oto-Manguean",17.25,-98.5833333333
"Nauruan","naur1243","Oceanic","Austronesian",-0.5,166.916666667
"Nande","nand1264","Bantoid","Niger-Congo",-0.0833333333333,29.1666666667
"Ngankikurungkurr","nang1259","Ngankikurungkurr","Southern Daly",-14.0,130.5
"Nahuatl (Central)","cent2132","Aztecan","Uto-Aztecan",19.0,-98.25
"Nukuoro","nuku1260","Oceanic","Austronesian",3.83333333333,154.916666667
"Ojibwa (Severn)","seve1240","Algonquian","Algic",53.0,-90.0
"Okanagan","okan1243","Interior Salish","Salishan",49.5,-118.5
"Pingilapese","ping1243","Oceanic","Austronesian",6.21666666667,160.7
"Pangasinan","pang1290","Northern Luzon","Austronesian",15.9166666667,120.333333333
"Rembarnga","remb1249","Rembarnga","Gunwinyguan",-12.8333333333,134.583333333
"Rundi","rund1242","Bantoid","Niger-Congo",-3.5,30.0
"Sesotho","sout2807","Bantoid","Niger-Congo",-28.0,27.0
"Siraya","sira1267","East Formosan","Austronesian",23.0,120.25
"Swati","swat1243","Bantoid","Niger-Congo",-26.5,31.0
