Source,Target,Id,Length, Type
ain, cmn, 332, 0.3479381443298969, Undirected
ain, coo, 333, 0.3306451612903226, Undirected
ain, cre, 334, 0.3075, Undirected
ain, dag, 335, 0.3058252427184466, Undirected
ain, dni, 336, 0.4110576923076923, Undirected
ain, dre, 337, 0.44999999999999996, Undirected
ain, eng, 338, 0.498046875, Undirected
ain, epe, 339, 0.44158878504672894, Undirected
ain, eve, 340, 0.41015625, Undirected
ain, ewe, 341, 0.410377358490566, Undirected
ain, fij, 342, 0.39375000000000004, Undirected
ain, fin, 343, 0.43359375, Undirected
ain, gar, 345, 0.4329896907216495, Undirected
ain, geo, 346, 0.36363636363636365, Undirected
ain, goo, 348, 0.3982300884955752, Undirected
ain, grb, 349, 0.4932432432432432, Undirected
ain, grk, 350, 0.4717741935483871, Undirected
ain, grw, 351, 0.43200000000000005, Undirected
ain, gua, 352, 0.37173913043478257, Undirected
ain, hai, 353, 0.39749999999999996, Undirected
ain, hau, 354, 0.42600000000000005, Undirected
ain, hin, 355, 0.396, Undirected
ain, hix, 356, 0.40625, Undirected
ain, hmo, 357, 0.3571428571428571, Undirected
ain, hun, 358, 0.38976377952755903, Undirected
ain, ika, 360, 0.3932038834951457, Undirected
ain, imo, 361, 0.4144736842105263, Undirected
ain, ind, 362, 0.380859375, Undirected
ain, ing, 363, 0.4362244897959183, Undirected
ain, jak, 365, 0.3847826086956522, Undirected
ain, jpn, 366, 0.33461538461538465, Undirected
ain, juh, 367, 0.44318181818181823, Undirected
ain, knd, 368, 0.44318181818181823, Undirected
ain, knr, 369, 0.42261904761904767, Undirected
ain, krk, 370, 0.3443877551020408, Undirected
ain, kay, 371, 0.3978260869565218, Undirected
ain, ket, 372, 0.3026315789473685, Undirected
ain, kew, 373, 0.33849557522123896, Undirected
ain, kha, 374, 0.38690476190476186, Undirected
ain, khs, 375, 0.46039603960396036, Undirected
ain, khm, 376, 0.390625, Undirected
ain, klv, 377, 0.4158415841584159, Undirected
ain, kio, 378, 0.3883928571428571, Undirected
ain, koa, 379, 0.37168141592920356, Undirected
ain, kob, 380, 0.3943965517241379, Undirected
ain, kor, 381, 0.287109375, Undirected
ain, kfe, 382, 0.41666666666666663, Undirected
ain, kse, 383, 0.4254807692307693, Undirected
ain, kro, 384, 0.4247787610619469, Undirected
ain, knm, 385, 0.4354838709677419, Undirected
ain, kut, 386, 0.37168141592920356, Undirected
ain, lkt, 387, 0.35040983606557374, Undirected
ain, lan, 388, 0.38749999999999996, Undirected
ain, lav, 390, 0.42307692307692313, Undirected
ain, lez, 391, 0.44886363636363635, Undirected
ain, luv, 392, 0.4882075471698113, Undirected
ain, mal, 393, 0.36250000000000004, Undirected
ain, mnd, 394, 0.345703125, Undirected
ain, myi, 395, 0.4375, Undirected
ain, mao, 396, 0.4625, Undirected
ain, map, 397, 0.3620689655172413, Undirected
ain, mar, 398, 0.39743589743589747, Undirected
ain, mrt, 399, 0.3847826086956522, Undirected
ain, mau, 400, 0.41355140186915884, Undirected
ain, may, 401, 0.39743589743589747, Undirected
ain, mei, 402, 0.375, Undirected
ain, mxc, 403, 0.4013157894736842, Undirected
ain, mun, 404, 0.28125, Undirected
ain, nht, 405, 0.3829787234042553, Undirected
ain, kho, 406, 0.36023622047244097, Undirected
ain, nav, 407, 0.3868421052631579, Undirected
ain, ndy, 408, 0.4263157894736842, Undirected
ain, ntu, 409, 0.36057692307692313, Undirected
ain, nez, 410, 0.38315217391304346, Undirected
ain, niv, 411, 0.3319672131147541, Undirected
ain, nko, 412, 0.44845360824742264, Undirected
ain, nug, 413, 0.4182692307692307, Undirected
ain, ond, 414, 0.38235294117647056, Undirected
ain, orh, 415, 0.4642857142857143, Undirected
ain, otm, 416, 0.38659793814432986, Undirected
ain, pms, 417, 0.43965517241379315, Undirected
ain, pai, 418, 0.39252336448598135, Undirected
ain, pau, 419, 0.44852941176470584, Undirected
ain, prs, 420, 0.375, Undirected
ain, prh, 421, 0.37168141592920356, Undirected
ain, ram, 422, 0.42954545454545456, Undirected
ain, rap, 423, 0.41086956521739126, Undirected
ain, rus, 424, 0.47023809523809523, Undirected
ain, san, 425, 0.4159090909090909, Undirected
ain, snm, 426, 0.41216216216216217, Undirected
ain, sml, 427, 0.4368131868131868, Undirected
ain, shk, 428, 0.4117647058823529, Undirected
ain, sla, 429, 0.36585365853658536, Undirected
ain, spa, 430, 0.47782258064516125, Undirected
ain, squ, 431, 0.390625, Undirected
ain, sup, 432, 0.4709302325581395, Undirected
ain, swa, 433, 0.4852941176470589, Undirected
ain, tab, 434, 0.4329896907216495, Undirected
ain, tag, 435, 0.4085365853658537, Undirected
ain, tha, 436, 0.40086206896551724, Undirected
ain, tiw, 437, 0.39075630252100846, Undirected
