Name,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
Bhili,bhb,Indic,Indo-European,Eurasia,22.0,73.0,India
Bhojpuri,bho,Indic,Indo-European,Eurasia,26.0,84.0,India
Bhumij,unr,Munda,Austro-Asiatic,Eurasia,21.33,86.5,India
Biak,bhw,South Halmahera - West New Guinea,Austronesian,Papunesia,-1.0,136.0,Indonesia
Bikol,bcl,Greater Central Philippine,Austronesian,Papunesia,13.33,123.5,Philippines
Bila,bip,Bantoid,Niger-Congo,Africa,1.0,28.75,Democratic Republic of Congo
Bilin,byn,Central Cushitic,Afro-Asiatic,Africa,15.75,38.5,Eritrea
Bilinarra,nbj,Western Pama-Nyungan,Pama-Nyungan,Australia,-16.0,131.67,Australia
Biloxi,bll,Core Siouan,Siouan,North America,30.5,-88.67,United States
Bilua,blb,Bilua,Solomons East Papuan,Papunesia,-7.75,156.67,Solomon Islands
Bimoba,bim,Northern-Central Gur,Niger-Congo,Africa,10.5,0.0,Ghana
Binandere,bhg,Binanderean,Trans-New Guinea,Papunesia,-8.25,148.0,Papua New Guinea
Binga,yul,Bongo-Bagirmi,Central Sudanic,Africa,8.0,25.0,Central African Republic
Bini,bin,Edoid,Niger-Congo,Africa,6.42,5.83,Nigeria
Bininj Gun-Wok,gup,Gunwinygic,Gunwinyguan,Australia,-12.5,133.75,Australia
Binumarien,bjr,Eastern Highlands,Trans-New Guinea,Papunesia,-6.28,146.08,Papua New Guinea
Biri,bzr,Northern Pama-Nyungan,Pama-Nyungan,Australia,-20.5,146.5,Australia
Birom,bom,Platoid,Niger-Congo,Africa,9.67,8.83,Nigeria
Bisa,bib,Eastern Mande,Mande,Africa,11.5,-0.5,Burkina Faso
Blackfoot,bla,Algonquian,Algic,North America,50.0,-112.67,Canada
Bobo Madar� (Northern),bbo,Western Mande,Mande,Africa,12.42,-4.33,Burkina Faso
Bodo,brx,Bodo-Garo,Sino-Tibetan,Eurasia,26.83,92.0,India
Boiken,bzf,Ndu,Sepik,Papunesia,-3.5,143.5,Papua New Guinea
Boko,bqc,Eastern Mande,Mande,Africa,10.5,3.5,Nigeria
Bole,bol,West Chadic,Afro-Asiatic,Africa,11.33,11.25,Nigeria
Bongo,bot,Bongo-Bagirmi,Central Sudanic,Africa,7.5,28.5,South Sudan
Bora,boa,Boran,Huitotoan,South America,-2.17,-72.33,Colombia
Bororo,bor,Bororoan,Bororoan,South America,-16.0,-57.0,Brazil
Bozo (Tigemaxo),boz,Western Mande,Mande,Africa,15.0,-4.0,Mali
Brahui,brh,Northern Dravidian,Dravidian,Eurasia,28.5,67.0,Pakistan
Brao,brb,Bahnaric,Austro-Asiatic,Eurasia,14.17,107.5,Vietnam
Breton,bre,Celtic,Indo-European,Eurasia,48.0,-3.0,France
Bribri,bzd,Talamanca,Chibchan,North America,9.42,-83.0,Costa Rica
Brokskat,bkk,Indic,Indo-European,Eurasia,35.33,76.5,Pakistan
Bru (Western),brv,Katuic,Austro-Asiatic,Eurasia,16.75,104.75,Laos
Budu,buu,Bantoid,Niger-Congo,Africa,2.0,28.0,Democratic Republic of Congo
Bugis,bug,South Sulawesi,Austronesian,Papunesia,-4.0,120.0,Indonesia
Bujeba,nmg,Bantoid,Niger-Congo,Africa,3.0,10.17,Equatorial Guinea
Bukusu,bxk,Bantoid,Niger-Congo,Africa,0.75,34.67,Kenya
Bulgarian,bul,Slavic,Indo-European,Eurasia,42.5,25.0,Bulgaria
Buli (in Ghana),bwu,Northern-Central Gur,Niger-Congo,Africa,10.5,-1.25,Ghana
Bulu,bum,Bantoid,Niger-Congo,Africa,3.0,11.0,Cameroon
Bunuba,bck,Bunuban,Bunuban,Australia,-17.75,125.75,Australia
Burarra,bvr,Burarran,Mangrida,Australia,-12.25,134.58,Australia
Burji,bji,Lowland East Cushitic,Afro-Asiatic,Africa,5.5,37.83,Ethiopia
Burmese,mya,Burmese-Lolo,Sino-Tibetan,Eurasia,21.0,96.0,Myanmar
Burushaski,bsk,Burushaski,Burushaski,Eurasia,36.5,74.5,Pakistan
Busa,bqp,Eastern Mande,Mande,Africa,9.67,4.0,Nigeria
Cacua,cbv,Cacua-Nukak,Cacua-Nukak,South America,1.08,-70.0,Colombia
Caddo,cad,Caddoan,Caddoan,North America,33.33,-93.5,United States
Cams�,kbh,Cams�,Cams�,South America,1.17,-77.0,Colombia
Candoshi,cbu,Candoshi,Candoshi,South America,-4.17,-77.0,Peru
Canela,ram,Ge-Kaingang,Macro-Ge,South America,-7.0,-45.0,Brazil
Cantonese,yue,Chinese,Sino-Tibetan,Eurasia,23.0,113.0,China
